Scientific Name,Common Name,Water Required Per Day,Soil Types Suitable for Plant,Best Season to Plant,Nutrients / Fertilizers,Edible (Yes/No) & Edible Parts,Industrial/Domestic Use Case,Commonly Grown Regions,Temperature for Plant,Additional Information,Propagation Method
crataegus_phaenopyrum,Washington Hawthorn,1-2 liters,"Loamy, well-draining, Clay soil",Spring to early summer (April-June),"Nitrogen, Phosphorus",No,Domestic (ornamental),"North America, Europe, Temperate regions",60-75°F (15-24°C),"Requires full sun, resistant to drought, attracts birds","Seed, cutting"
quercus_robur,English Oak,2-3 liters,"Well-draining, Loamy, Clay soil",Fall (September-November),"Nitrogen, Phosphorus",No,"Domestic (ornamental, timber)","Europe, Eastern North America",50-85°F (10-29°C),"Tolerates a variety of soils, sensitive to waterlogging, slow-growing",Acorn (seed)
pinus_rigida,Pitch Pine,1-1.5 liters,"Sandy, well-draining, Acidic soil",Spring (March-May),"Nitrogen, Phosphorus",No,"Industrial (timber, paper)","Eastern USA, Canada",45-80°F (7-27°C),"Tolerates poor soil, drought-resistant, attracts wildlife","Seed, grafting"
betula_lenta,Sweet Birch,1.5-2 liters,"Well-draining, Loamy, Sandy soil",Spring (April-May),"Nitrogen, Phosphorus",No,"Domestic (ornamental, timber)",North America (Eastern USA),50-70°F (10-21°C),"Requires moist, well-drained soil, sensitive to heat, attracts pollinators","Seed, cutting"
magnolia_denudata,Yulan Magnolia,1.5-2 liters,"Well-draining, Loamy, Acidic soil",Spring (March-May),"Nitrogen, Potassium",No,Domestic (ornamental),"China, Korea, Japan",60-75°F (15-24°C),"Prefers full sun or partial shade, fragrant flowers, sensitive to frost","Seed, cutting"
quercus_macrocarpa,Bur Oak,1.5-2 liters,"Loamy, Clay soil",Fall (September-November),"Nitrogen, Phosphorus",No,"Domestic (timber, ornamental)",North America (Central USA),60-85°F (15-29°C),"Tolerates drought, grows slowly, attracts wildlife",Acorn (seed)
quercus_velutina,Black Oak,2-3 liters,"Well-draining, Loamy, Clay soil",Spring (March-May),"Nitrogen, Phosphorus",No,"Domestic (timber, ornamental)","Eastern USA, Canada",50-80°F (10-27°C),"Tolerates a wide range of soils, attracts birds and insects, slow-growing",Acorn (seed)
pseudolarix_amabilis,Golden Larch,1-1.5 liters,"Well-draining, Loamy, Sandy soil",Spring (April-May),"Nitrogen, Phosphorus",No,Domestic (ornamental),"China, East Asia",55-75°F (13-24°C),"Deciduous conifer, requires full sun, sensitive to frost","Seed, cutting"
cornus_kousa,Kousa Dogwood,1-1.5 liters,"Loamy, well-draining, Acidic soil",Spring (March-May),"Nitrogen, Phosphorus",No,Domestic (ornamental),"East Asia, Eastern North America",50-75°F (10-24°C),"Prefers partial shade, attracts pollinators, tolerates dry conditions","Seed, softwood cutting"
liriodendron_tulipifera,Tulip Tree,2-3 liters,"Well-draining, Loamy, Acidic soil",Spring (March-May),"Nitrogen, Phosphorus",No,"Domestic (ornamental, timber)","Eastern USA, Eastern Asia",55-85°F (13-29°C),"Requires full sun, attracts wildlife, sensitive to wind and drought","Seed, softwood cutting"
amelanchier_arborea,Serviceberry,1-1.5 liters,"Loamy, well-draining, Sandy soil",Spring (March-May),"Nitrogen, Phosphorus","Yes, fruit is edible","Domestic (ornamental, edible fruit)",North America (Eastern and Central USA),55-75°F (13-24°C),"Requires full sun or partial shade, attracts birds, sensitive to drought","Seed, softwood cutting"
